cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
06,Colima,0,Estatal,1001000001,Superficie continental,2020,5626.88450727,Kilómetros cuadrados
06,Colima,0,Estatal,1002000001,Población total,1910,77704,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1921,91749,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1930,61923,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1940,78806,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1950,112321,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1960,164450,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1970,241153,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1980,346293,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1990,428510,Número de personas
06,Colima,0,Estatal,1002000001,Población total,1995,488028,Número de personas
06,Colima,0,Estatal,1002000001,Población total,2000,542627,Número de personas
06,Colima,0,Estatal,1002000001,Población total,2005,567996,Número de personas
06,Colima,0,Estatal,1002000001,Población total,2010,650555,Número de personas
06,Colima,0,Estatal,1002000001,Población total,2015,715095,Número de personas
06,Colima,0,Estatal,1002000001,Población total,2020,731391,Número de personas
06,Colima,0,Estatal,1002000002,Población total hombres,1995,242787,Número de personas
06,Colima,0,Estatal,1002000002,Población total hombres,2000,268192,Número de personas
06,Colima,0,Estatal,1002000002,Población total hombres,2005,280005,Número de personas
06,Colima,0,Estatal,1002000002,Población total hombres,2010,322790,Número de personas
06,Colima,0,Estatal,1002000002,Población total hombres,2020,360622,Número de personas
06,Colima,0,Estatal,1002000003,Población total mujeres,1995,245241,Número de personas
06,Colima,0,Estatal,1002000003,Población total mujeres,2000,274435,Número de personas
06,Colima,0,Estatal,1002000003,Población total mujeres,2005,287991,Número de personas
06,Colima,0,Estatal,1002000003,Población total mujeres,2010,327765,Número de personas
06,Colima,0,Estatal,1002000003,Población total mujeres,2020,370769,Número de personas
06,Colima,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,29.9,No especificada
06,Colima,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,28.8,No especificada
06,Colima,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,27.6,No especificada
06,Colima,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,27.3,No especificada
06,Colima,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,26.1497254775145,No especificada
06,Colima,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,24.4080692590841,No especificada
06,Colima,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,29.4,No especificada
06,Colima,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,28.2,No especificada
06,Colima,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,27.1,No especificada
06,Colima,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,27.3,No especificada
06,Colima,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,12.8597439664808,No especificada
06,Colima,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,24.715345880822,No especificada
06,Colima,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,30.4,No especificada
06,Colima,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,29.3,No especificada
06,Colima,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,28,No especificada
06,Colima,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,27.3,No especificada
06,Colima,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,13.2899815110336,No especificada
